=== MATCH SCHEDULE FOR BMD ===
BMD4   | 11:00 AM - 11:30 AM | Court 3
BMD6   | 11:00 AM - 11:30 AM | Court 6
BMD8   | 11:00 AM - 11:30 AM | Court 7
BMD9   | 11:00 AM - 11:30 AM | Court 8
BMD11  | 11:00 AM - 11:30 AM | Court 9
BMD13  | 11:00 AM - 11:30 AM | Court 1
BMD17  | 12:30 PM - 01:00 PM | Court 3
BMD18  | 12:30 PM - 01:00 PM | Court 6
BMD19  | 12:30 PM - 01:00 PM | Court 7
BMD20  | 12:30 PM - 01:00 PM | Court 8
BMD21  | 12:30 PM - 01:00 PM | Court 9
BMD22  | 12:30 PM - 01:00 PM | Court 1
BMD23  | 12:30 PM - 01:00 PM | Court 2
BMD24  | 12:30 PM - 01:00 PM | Court 4
BMD25  | 02:10 PM - 02:40 PM | Court 3
BMD26  | 02:10 PM - 02:40 PM | Court 6
BMD27  | 02:10 PM - 02:40 PM | Court 7
BMD28  | 02:10 PM - 02:40 PM | Court 8
BMD29  | 03:20 PM - 03:50 PM | Court 2
BMD30  | 03:20 PM - 03:50 PM | Court 4
BMD31  | 04:10 PM - 04:40 PM | Court 9
BMD41  | 03:00 PM - 03:10 PM | Court 12
BMD42  | 03:00 PM - 03:10 PM | Court 3
BMD43  | 03:00 PM - 03:10 PM | Court 6
BMD44  | 03:00 PM - 03:10 PM | Court 7
BMD45  | 03:00 PM - 03:10 PM | Court 8
BMD46  | 03:00 PM - 03:10 PM | Court 9
BMD48  | 03:30 PM - 03:40 PM | Court 12
BMD49  | 03:30 PM - 03:40 PM | Court 3
BMD50  | 03:40 PM - 03:50 PM | Court 10
BMD51  | 03:40 PM - 03:50 PM | Court 11
BMD52  | 04:00 PM - 04:10 PM | Court 6
BMD53  | 04:10 PM - 04:20 PM | Court 10
BMD54  | 04:40 PM - 05:10 PM | Court 6
