=== MATCH SCHEDULE FOR BMS ===
BMS4   | 09:00 AM - 09:30 AM | Court 3
BMS8   | 09:00 AM - 09:30 AM | Court 6
BMS9   | 09:00 AM - 09:30 AM | Court 4
BMS13  | 09:00 AM - 09:30 AM | Court 5
BMS17  | 12:30 PM - 01:00 PM | Court 6
BMS18  | 12:30 PM - 01:00 PM | Court 7
BMS19  | 12:30 PM - 01:00 PM | Court 8
BMS20  | 12:30 PM - 01:00 PM | Court 9
BMS21  | 12:30 PM - 01:00 PM | Court 4
BMS22  | 12:30 PM - 01:00 PM | Court 5
BMS23  | 01:00 PM - 01:30 PM | Court 3
BMS24  | 01:00 PM - 01:30 PM | Court 6
BMS25  | 03:10 PM - 03:40 PM | Court 3
BMS26  | 03:10 PM - 03:40 PM | Court 6
BMS27  | 03:10 PM - 03:40 PM | Court 7
BMS28  | 03:30 PM - 04:00 PM | Court 8
BMS29  | 05:20 PM - 05:50 PM | Court 3
BMS30  | 05:20 PM - 05:50 PM | Court 6
BMS31  | 06:30 PM - 07:00 PM | Court 7
BMS41  | 04:10 PM - 04:20 PM | Court 11
BMS43  | 04:10 PM - 04:20 PM | Court 12
BMS44  | 04:10 PM - 04:20 PM | Court 3
BMS46  | 04:10 PM - 04:20 PM | Court 6
BMS48  | 04:50 PM - 05:00 PM | Court 7
BMS49  | 04:50 PM - 05:00 PM | Court 8
BMS50  | 04:50 PM - 05:00 PM | Court 9
BMS51  | 04:50 PM - 05:00 PM | Court 5
BMS52  | 06:00 PM - 06:10 PM | Court 8
BMS53  | 06:00 PM - 06:10 PM | Court 9
BMS54  | 06:30 PM - 07:00 PM | Court 8
