=== MATCH SCHEDULE FOR CMD ===
CMD2   | 08:00 AM - 08:30 AM | Court 10
CMD4   | 08:00 AM - 08:30 AM | Court 11
CMD6   | 08:00 AM - 08:30 AM | Court 12
CMD7   | 08:00 AM - 08:30 AM | Court 3
CMD8   | 08:00 AM - 08:30 AM | Court 6
CMD10  | 08:00 AM - 08:30 AM | Court 7
CMD12  | 08:00 AM - 08:30 AM | Court 8
CMD14  | 08:00 AM - 08:30 AM | Court 9
CMD15  | 08:00 AM - 08:30 AM | Court 1
CMD16  | 08:00 AM - 08:30 AM | Court 2
CMD17  | 08:00 AM - 08:30 AM | Court 4
CMD18  | 08:00 AM - 08:30 AM | Court 5
CMD19  | 08:30 AM - 09:00 AM | Court 10
CMD21  | 08:30 AM - 09:00 AM | Court 11
CMD22  | 08:30 AM - 09:00 AM | Court 12
CMD23  | 08:30 AM - 09:00 AM | Court 3
CMD25  | 08:30 AM - 09:00 AM | Court 6
CMD26  | 08:30 AM - 09:00 AM | Court 7
CMD27  | 08:30 AM - 09:00 AM | Court 8
CMD29  | 08:30 AM - 09:00 AM | Court 9
CMD31  | 08:30 AM - 09:00 AM | Court 1
CMD33  | 09:30 AM - 10:00 AM | Court 3
CMD34  | 09:30 AM - 10:00 AM | Court 6
CMD35  | 09:30 AM - 10:00 AM | Court 7
CMD36  | 09:30 AM - 10:00 AM | Court 8
CMD37  | 09:30 AM - 10:00 AM | Court 9
CMD38  | 09:30 AM - 10:00 AM | Court 1
CMD39  | 09:30 AM - 10:00 AM | Court 2
CMD40  | 09:30 AM - 10:00 AM | Court 4
CMD41  | 09:30 AM - 10:00 AM | Court 5
CMD42  | 10:00 AM - 10:30 AM | Court 10
CMD43  | 10:00 AM - 10:30 AM | Court 11
CMD44  | 10:00 AM - 10:30 AM | Court 12
CMD45  | 10:00 AM - 10:30 AM | Court 3
CMD46  | 10:00 AM - 10:30 AM | Court 6
CMD47  | 10:00 AM - 10:30 AM | Court 7
CMD48  | 10:00 AM - 10:30 AM | Court 8
CMD49  | 11:30 AM - 12:00 noon | Court 10
CMD50  | 11:30 AM - 12:00 noon | Court 11
CMD51  | 11:30 AM - 12:00 noon | Court 12
CMD52  | 11:30 AM - 12:00 noon | Court 3
CMD53  | 11:30 AM - 12:00 noon | Court 6
CMD54  | 11:30 AM - 12:00 noon | Court 7
CMD55  | 11:30 AM - 12:00 noon | Court 8
CMD56  | 11:30 AM - 12:00 noon | Court 9
CMD57  | 01:40 PM - 02:10 PM | Court 10
CMD58  | 01:40 PM - 02:10 PM | Court 11
CMD59  | 01:40 PM - 02:10 PM | Court 12
CMD60  | 01:40 PM - 02:10 PM | Court 3
CMD61  | 03:10 PM - 03:40 PM | Court 5
CMD62  | 03:20 PM - 03:50 PM | Court 6
CMD63  | 04:10 PM - 04:40 PM | Court 6
CMD67  | 01:00 PM - 01:10 PM | Court 7
CMD71  | 01:00 PM - 01:10 PM | Court 8
CMD72  | 01:00 PM - 01:10 PM | Court 9
CMD74  | 01:00 PM - 01:10 PM | Court 1
CMD76  | 01:00 PM - 01:10 PM | Court 2
CMD80  | 01:00 PM - 01:10 PM | Court 4
CMD81  | 01:00 PM - 01:10 PM | Court 5
CMD82  | 01:10 PM - 01:20 PM | Court 7
CMD84  | 01:10 PM - 01:20 PM | Court 8
CMD85  | 01:10 PM - 01:20 PM | Court 9
CMD86  | 01:10 PM - 01:20 PM | Court 1
CMD89  | 01:10 PM - 01:20 PM | Court 2
CMD91  | 01:10 PM - 01:20 PM | Court 4
CMD93  | 01:10 PM - 01:20 PM | Court 5
CMD94  | 01:20 PM - 01:30 PM | Court 7
CMD95  | 01:20 PM - 01:30 PM | Court 8
CMD96  | 02:40 PM - 02:50 PM | Court 10
CMD97  | 02:40 PM - 02:50 PM | Court 11
CMD98  | 02:40 PM - 02:50 PM | Court 12
CMD99  | 02:40 PM - 02:50 PM | Court 3
CMD100 | 02:40 PM - 02:50 PM | Court 6
CMD101 | 02:40 PM - 02:50 PM | Court 7
CMD102 | 02:40 PM - 02:50 PM | Court 8
CMD103 | 02:40 PM - 02:50 PM | Court 9
CMD104 | 03:10 PM - 03:20 PM | Court 3
CMD105 | 03:10 PM - 03:20 PM | Court 6
CMD106 | 03:10 PM - 03:20 PM | Court 7
CMD107 | 03:10 PM - 03:20 PM | Court 8
CMD108 | 03:50 PM - 04:00 PM | Court 3
CMD109 | 03:50 PM - 04:00 PM | Court 6
CMD110 | 04:20 PM - 04:50 PM | Court 3
