=== MATCH SCHEDULE FOR CMS ===
CMS4   | 08:30 AM - 09:00 AM | Court 3
CMS6   | 08:30 AM - 09:00 AM | Court 6
CMS8   | 08:30 AM - 09:00 AM | Court 1
CMS9   | 08:30 AM - 09:00 AM | Court 2
CMS11  | 08:30 AM - 09:00 AM | Court 4
CMS13  | 08:30 AM - 09:00 AM | Court 5
CMS17  | 12:00 noon - 12:30 PM | Court 9
CMS18  | 12:00 noon - 12:30 PM | Court 2
CMS19  | 12:00 noon - 12:30 PM | Court 4
CMS20  | 12:00 noon - 12:30 PM | Court 5
CMS21  | 12:30 PM - 01:00 PM | Court 10
CMS22  | 12:30 PM - 01:00 PM | Court 11
CMS23  | 12:30 PM - 01:00 PM | Court 12
CMS24  | 12:30 PM - 01:00 PM | Court 3
CMS25  | 02:40 PM - 03:10 PM | Court 11
CMS26  | 02:40 PM - 03:10 PM | Court 12
CMS27  | 02:40 PM - 03:10 PM | Court 7
CMS28  | 03:00 PM - 03:30 PM | Court 8
CMS29  | 05:10 PM - 05:40 PM | Court 5
CMS30  | 05:20 PM - 05:50 PM | Court 10
CMS31  | 06:20 PM - 06:50 PM | Court 5
CMS41  | 03:40 PM - 03:50 PM | Court 7
CMS42  | 03:50 PM - 04:00 PM | Court 7
CMS43  | 04:00 PM - 04:10 PM | Court 7
CMS44  | 04:00 PM - 04:10 PM | Court 8
CMS45  | 04:00 PM - 04:10 PM | Court 9
CMS46  | 04:10 PM - 04:20 PM | Court 10
CMS48  | 04:50 PM - 05:00 PM | Court 10
CMS49  | 04:50 PM - 05:00 PM | Court 11
CMS50  | 04:50 PM - 05:00 PM | Court 12
CMS51  | 04:50 PM - 05:00 PM | Court 3
CMS52  | 05:50 PM - 06:00 PM | Court 8
CMS53  | 05:50 PM - 06:00 PM | Court 9
CMS54  | 06:30 PM - 07:00 PM | Court 3
