=== MATCH SCHEDULE FOR CWD ===
CWD4   | 11:00 AM - 11:30 AM | Court 11
CWD8   | 11:00 AM - 11:30 AM | Court 12
CWD9   | 11:00 AM - 11:30 AM | Court 2
CWD13  | 11:00 AM - 11:30 AM | Court 4
CWD17  | 12:30 PM - 01:00 PM | Court 11
CWD18  | 12:30 PM - 01:00 PM | Court 12
CWD19  | 12:30 PM - 01:00 PM | Court 5
CWD20  | 01:00 PM - 01:30 PM | Court 10
CWD21  | 01:00 PM - 01:30 PM | Court 11
CWD22  | 01:00 PM - 01:30 PM | Court 12
CWD23  | 01:00 PM - 01:30 PM | Court 3
CWD24  | 01:00 PM - 01:30 PM | Court 6
CWD25  | 02:10 PM - 02:40 PM | Court 11
CWD26  | 02:10 PM - 02:40 PM | Court 12
CWD27  | 02:10 PM - 02:40 PM | Court 9
CWD28  | 02:10 PM - 02:40 PM | Court 4
CWD29  | 03:50 PM - 04:20 PM | Court 11
CWD30  | 03:50 PM - 04:20 PM | Court 12
CWD31  | 04:40 PM - 05:10 PM | Court 10
CWD41  | 03:00 PM - 03:10 PM | Court 5
CWD43  | 03:10 PM - 03:20 PM | Court 10
CWD44  | 03:10 PM - 03:20 PM | Court 11
CWD46  | 03:10 PM - 03:20 PM | Court 12
CWD48  | 03:40 PM - 03:50 PM | Court 12
CWD49  | 03:40 PM - 03:50 PM | Court 3
CWD50  | 03:40 PM - 03:50 PM | Court 5
CWD51  | 03:50 PM - 04:00 PM | Court 10
CWD52  | 04:10 PM - 04:20 PM | Court 3
CWD53  | 04:20 PM - 04:30 PM | Court 10
CWD54  | 04:50 PM - 05:20 PM | Court 3
