=== MATCH SCHEDULE FOR CXD ===
CXD2   | 10:30 AM - 11:00 AM | Court 4
CXD3   | 10:30 AM - 11:00 AM | Court 5
CXD4   | 11:00 AM - 11:30 AM | Court 10
CXD5   | 11:00 AM - 11:30 AM | Court 11
CXD6   | 11:00 AM - 11:30 AM | Court 12
CXD7   | 11:00 AM - 11:30 AM | Court 3
CXD8   | 11:00 AM - 11:30 AM | Court 6
CXD9   | 11:00 AM - 11:30 AM | Court 7
CXD10  | 11:00 AM - 11:30 AM | Court 8
CXD11  | 11:00 AM - 11:30 AM | Court 9
CXD12  | 11:00 AM - 11:30 AM | Court 1
CXD13  | 11:00 AM - 11:30 AM | Court 2
CXD14  | 11:00 AM - 11:30 AM | Court 4
CXD15  | 11:00 AM - 11:30 AM | Court 5
CXD17  | 01:00 PM - 01:30 PM | Court 4
CXD18  | 01:00 PM - 01:30 PM | Court 5
CXD19  | 01:30 PM - 02:00 PM | Court 10
CXD20  | 01:30 PM - 02:00 PM | Court 11
CXD21  | 01:30 PM - 02:00 PM | Court 12
CXD22  | 01:30 PM - 02:00 PM | Court 3
CXD23  | 01:30 PM - 02:00 PM | Court 6
CXD24  | 01:30 PM - 02:00 PM | Court 7
CXD25  | 03:30 PM - 04:00 PM | Court 1
CXD26  | 03:30 PM - 04:00 PM | Court 2
CXD27  | 03:30 PM - 04:00 PM | Court 4
CXD28  | 03:30 PM - 04:00 PM | Court 5
CXD29  | 05:20 PM - 05:50 PM | Court 9
CXD30  | 05:40 PM - 06:10 PM | Court 4
CXD31  | 06:30 PM - 07:00 PM | Court 12
CXD33  | 04:20 PM - 04:30 PM | Court 7
CXD34  | 04:20 PM - 04:30 PM | Court 8
CXD35  | 04:20 PM - 04:30 PM | Court 9
CXD36  | 04:30 PM - 04:40 PM | Court 10
CXD37  | 04:30 PM - 04:40 PM | Court 11
CXD38  | 04:30 PM - 04:40 PM | Court 12
CXD40  | 04:30 PM - 04:40 PM | Court 3
CXD47  | 04:30 PM - 04:40 PM | Court 6
CXD48  | 05:00 PM - 05:10 PM | Court 6
CXD49  | 05:00 PM - 05:10 PM | Court 7
CXD50  | 05:00 PM - 05:10 PM | Court 8
CXD51  | 05:00 PM - 05:10 PM | Court 9
CXD52  | 06:10 PM - 06:20 PM | Court 8
CXD53  | 06:10 PM - 06:20 PM | Court 9
CXD54  | 06:50 PM - 07:20 PM | Court 1
