=== MATCH SCHEDULE FOR DMD ===
DMD2   | 08:30 AM - 09:00 AM | Court 2
DMD4   | 08:30 AM - 09:00 AM | Court 4
DMD6   | 08:30 AM - 09:00 AM | Court 5
DMD8   | 09:00 AM - 09:30 AM | Court 10
DMD10  | 09:00 AM - 09:30 AM | Court 11
DMD12  | 09:00 AM - 09:30 AM | Court 12
DMD14  | 09:00 AM - 09:30 AM | Court 3
DMD15  | 09:00 AM - 09:30 AM | Court 6
DMD16  | 09:00 AM - 09:30 AM | Court 7
DMD17  | 09:00 AM - 09:30 AM | Court 8
DMD18  | 09:00 AM - 09:30 AM | Court 9
DMD19  | 09:00 AM - 09:30 AM | Court 1
DMD21  | 09:00 AM - 09:30 AM | Court 2
DMD23  | 09:00 AM - 09:30 AM | Court 4
DMD25  | 09:00 AM - 09:30 AM | Court 5
DMD27  | 09:30 AM - 10:00 AM | Court 10
DMD29  | 09:30 AM - 10:00 AM | Court 11
DMD31  | 09:30 AM - 10:00 AM | Court 12
DMD33  | 10:00 AM - 10:30 AM | Court 9
DMD34  | 10:00 AM - 10:30 AM | Court 1
DMD35  | 10:00 AM - 10:30 AM | Court 2
DMD36  | 10:00 AM - 10:30 AM | Court 4
DMD37  | 10:00 AM - 10:30 AM | Court 5
DMD38  | 10:30 AM - 11:00 AM | Court 10
DMD39  | 10:30 AM - 11:00 AM | Court 11
DMD40  | 10:30 AM - 11:00 AM | Court 12
DMD41  | 10:30 AM - 11:00 AM | Court 3
DMD42  | 10:30 AM - 11:00 AM | Court 6
DMD43  | 10:30 AM - 11:00 AM | Court 7
DMD44  | 10:30 AM - 11:00 AM | Court 8
DMD45  | 10:30 AM - 11:00 AM | Court 9
DMD46  | 10:30 AM - 11:00 AM | Court 1
DMD47  | 10:30 AM - 11:00 AM | Court 2
DMD48  | 10:30 AM - 11:00 AM | Court 4
DMD49  | 11:30 AM - 12:00 noon | Court 2
DMD50  | 11:30 AM - 12:00 noon | Court 4
DMD51  | 11:30 AM - 12:00 noon | Court 5
DMD52  | 12:00 noon - 12:30 PM | Court 10
DMD53  | 12:00 noon - 12:30 PM | Court 11
DMD54  | 12:00 noon - 12:30 PM | Court 12
DMD55  | 12:00 noon - 12:30 PM | Court 3
DMD56  | 12:00 noon - 12:30 PM | Court 6
DMD57  | 01:40 PM - 02:10 PM | Court 6
DMD58  | 01:40 PM - 02:10 PM | Court 7
DMD59  | 01:40 PM - 02:10 PM | Court 8
DMD60  | 01:40 PM - 02:10 PM | Court 9
DMD61  | 03:20 PM - 03:50 PM | Court 7
DMD62  | 03:20 PM - 03:50 PM | Court 8
DMD63  | 04:10 PM - 04:40 PM | Court 7
DMD71  | 01:20 PM - 01:30 PM | Court 9
DMD72  | 01:20 PM - 01:30 PM | Court 1
DMD80  | 01:20 PM - 01:30 PM | Court 2
DMD81  | 01:20 PM - 01:30 PM | Court 4
DMD82  | 01:20 PM - 01:30 PM | Court 5
DMD83  | 01:30 PM - 01:40 PM | Court 10
DMD84  | 01:30 PM - 01:40 PM | Court 11
DMD85  | 01:30 PM - 01:40 PM | Court 12
DMD86  | 01:30 PM - 01:40 PM | Court 3
DMD89  | 01:30 PM - 01:40 PM | Court 6
DMD90  | 01:30 PM - 01:40 PM | Court 7
DMD91  | 01:30 PM - 01:40 PM | Court 8
DMD92  | 01:30 PM - 01:40 PM | Court 9
DMD93  | 01:30 PM - 01:40 PM | Court 1
DMD94  | 01:30 PM - 01:40 PM | Court 2
DMD95  | 01:30 PM - 01:40 PM | Court 4
DMD96  | 02:50 PM - 03:00 PM | Court 10
DMD97  | 02:50 PM - 03:00 PM | Court 11
DMD98  | 02:50 PM - 03:00 PM | Court 12
DMD99  | 02:50 PM - 03:00 PM | Court 3
DMD100 | 02:50 PM - 03:00 PM | Court 6
DMD101 | 02:50 PM - 03:00 PM | Court 7
DMD102 | 02:50 PM - 03:00 PM | Court 8
DMD103 | 02:50 PM - 03:00 PM | Court 9
DMD104 | 03:20 PM - 03:30 PM | Court 10
DMD105 | 03:20 PM - 03:30 PM | Court 11
DMD106 | 03:20 PM - 03:30 PM | Court 12
DMD107 | 03:20 PM - 03:30 PM | Court 3
DMD108 | 03:50 PM - 04:00 PM | Court 7
DMD109 | 03:50 PM - 04:00 PM | Court 8
DMD110 | 04:20 PM - 04:50 PM | Court 1
