=== MATCH SCHEDULE FOR DMS ===
DMS8   | 08:00 AM - 08:30 AM | Court 3
DMS12  | 08:00 AM - 08:30 AM | Court 6
DMS16  | 08:00 AM - 08:30 AM | Court 1
DMS17  | 08:00 AM - 08:30 AM | Court 2
DMS21  | 08:00 AM - 08:30 AM | Court 4
DMS25  | 08:00 AM - 08:30 AM | Court 5
DMS33  | 09:30 AM - 10:00 AM | Court 3
DMS34  | 09:30 AM - 10:00 AM | Court 6
DMS35  | 09:30 AM - 10:00 AM | Court 1
DMS36  | 09:30 AM - 10:00 AM | Court 2
DMS37  | 09:30 AM - 10:00 AM | Court 4
DMS38  | 09:30 AM - 10:00 AM | Court 5
DMS39  | 10:00 AM - 10:30 AM | Court 3
DMS40  | 10:00 AM - 10:30 AM | Court 6
DMS41  | 10:00 AM - 10:30 AM | Court 1
DMS42  | 10:00 AM - 10:30 AM | Court 2
DMS43  | 10:00 AM - 10:30 AM | Court 4
DMS44  | 10:00 AM - 10:30 AM | Court 5
DMS45  | 10:30 AM - 11:00 AM | Court 3
DMS46  | 10:30 AM - 11:00 AM | Court 6
DMS47  | 10:30 AM - 11:00 AM | Court 1
DMS48  | 10:30 AM - 11:00 AM | Court 2
DMS49  | 01:00 PM - 01:30 PM | Court 10
DMS50  | 01:00 PM - 01:30 PM | Court 11
DMS51  | 01:00 PM - 01:30 PM | Court 12
DMS52  | 01:00 PM - 01:30 PM | Court 7
DMS53  | 01:00 PM - 01:30 PM | Court 8
DMS54  | 01:00 PM - 01:30 PM | Court 9
DMS55  | 01:00 PM - 01:30 PM | Court 1
DMS56  | 01:00 PM - 01:30 PM | Court 2
DMS57  | 03:10 PM - 03:40 PM | Court 10
DMS58  | 03:10 PM - 03:40 PM | Court 11
DMS59  | 03:10 PM - 03:40 PM | Court 12
DMS60  | 03:30 PM - 04:00 PM | Court 9
DMS61  | 05:20 PM - 05:50 PM | Court 7
DMS62  | 05:20 PM - 05:50 PM | Court 8
DMS63  | 06:30 PM - 07:00 PM | Court 11
DMS83  | 02:30 PM - 02:40 PM | Court 10
DMS85  | 02:30 PM - 02:40 PM | Court 11
DMS87  | 02:30 PM - 02:40 PM | Court 12
DMS88  | 02:30 PM - 02:40 PM | Court 3
DMS90  | 02:30 PM - 02:40 PM | Court 6
DMS92  | 02:30 PM - 02:40 PM | Court 7
DMS96  | 04:10 PM - 04:20 PM | Court 7
DMS97  | 04:10 PM - 04:20 PM | Court 8
DMS98  | 04:10 PM - 04:20 PM | Court 9
DMS99  | 04:20 PM - 04:30 PM | Court 10
DMS100 | 04:20 PM - 04:30 PM | Court 11
DMS101 | 04:20 PM - 04:30 PM | Court 12
DMS102 | 04:20 PM - 04:30 PM | Court 3
DMS103 | 04:20 PM - 04:30 PM | Court 6
DMS104 | 05:00 PM - 05:10 PM | Court 10
DMS105 | 05:00 PM - 05:10 PM | Court 11
DMS106 | 05:00 PM - 05:10 PM | Court 12
DMS107 | 05:00 PM - 05:10 PM | Court 3
DMS108 | 06:10 PM - 06:20 PM | Court 12
DMS109 | 06:10 PM - 06:20 PM | Court 7
DMS110 | 06:50 PM - 07:20 PM | Court 9
