=== MATCH SCHEDULE FOR DXD ===
DXD2   | 11:30 AM - 12:00 noon | Court 10
DXD4   | 11:30 AM - 12:00 noon | Court 11
DXD6   | 11:30 AM - 12:00 noon | Court 12
DXD8   | 11:30 AM - 12:00 noon | Court 3
DXD9   | 11:30 AM - 12:00 noon | Court 6
DXD10  | 11:30 AM - 12:00 noon | Court 7
DXD11  | 11:30 AM - 12:00 noon | Court 8
DXD13  | 11:30 AM - 12:00 noon | Court 9
DXD15  | 11:30 AM - 12:00 noon | Court 2
DXD17  | 01:30 PM - 02:00 PM | Court 8
DXD18  | 01:30 PM - 02:00 PM | Court 9
DXD19  | 02:00 PM - 02:30 PM | Court 10
DXD20  | 02:00 PM - 02:30 PM | Court 11
DXD21  | 02:00 PM - 02:30 PM | Court 12
DXD22  | 02:00 PM - 02:30 PM | Court 3
DXD23  | 02:00 PM - 02:30 PM | Court 6
DXD24  | 02:00 PM - 02:30 PM | Court 7
DXD25  | 03:40 PM - 04:10 PM | Court 10
DXD26  | 03:40 PM - 04:10 PM | Court 11
DXD27  | 03:40 PM - 04:10 PM | Court 12
DXD28  | 03:40 PM - 04:10 PM | Court 3
DXD29  | 05:50 PM - 06:20 PM | Court 10
DXD30  | 05:50 PM - 06:20 PM | Court 11
DXD31  | 07:00 PM - 07:30 PM | Court 10
DXD36  | 04:30 PM - 04:40 PM | Court 8
DXD40  | 04:30 PM - 04:40 PM | Court 9
DXD41  | 04:30 PM - 04:40 PM | Court 5
DXD42  | 04:40 PM - 04:50 PM | Court 10
DXD43  | 04:40 PM - 04:50 PM | Court 11
DXD45  | 04:40 PM - 04:50 PM | Court 12
DXD46  | 04:40 PM - 04:50 PM | Court 3
DXD47  | 04:40 PM - 04:50 PM | Court 6
DXD48  | 05:10 PM - 05:20 PM | Court 10
DXD49  | 05:10 PM - 05:20 PM | Court 11
DXD50  | 05:10 PM - 05:20 PM | Court 12
DXD51  | 05:10 PM - 05:20 PM | Court 6
DXD52  | 06:20 PM - 06:30 PM | Court 10
DXD53  | 06:20 PM - 06:30 PM | Court 11
DXD54  | 07:00 PM - 07:30 PM | Court 3
