=== MATCH SCHEDULE FOR BMD ===
11:00 AM - 11:30 AM | BMD4   | Court 3
11:00 AM - 11:30 AM | BMD6   | Court 6
11:00 AM - 11:30 AM | BMD8   | Court 7
11:00 AM - 11:30 AM | BMD9   | Court 8
11:00 AM - 11:30 AM | BMD11  | Court 9
11:00 AM - 11:30 AM | BMD13  | Court 1
12:30 PM - 01:00 PM | BMD17  | Court 3
12:30 PM - 01:00 PM | BMD18  | Court 6
12:30 PM - 01:00 PM | BMD19  | Court 7
12:30 PM - 01:00 PM | BMD20  | Court 8
12:30 PM - 01:00 PM | BMD21  | Court 9
12:30 PM - 01:00 PM | BMD22  | Court 1
12:30 PM - 01:00 PM | BMD23  | Court 2
12:30 PM - 01:00 PM | BMD24  | Court 4
02:10 PM - 02:40 PM | BMD25  | Court 3
02:10 PM - 02:40 PM | BMD26  | Court 6
02:10 PM - 02:40 PM | BMD27  | Court 7
02:10 PM - 02:40 PM | BMD28  | Court 8
03:00 PM - 03:10 PM | BMD41  | Court 12
03:00 PM - 03:10 PM | BMD42  | Court 3
03:00 PM - 03:10 PM | BMD43  | Court 6
03:00 PM - 03:10 PM | BMD44  | Court 7
03:00 PM - 03:10 PM | BMD45  | Court 8
03:00 PM - 03:10 PM | BMD46  | Court 9
03:20 PM - 03:50 PM | BMD29  | Court 2
03:20 PM - 03:50 PM | BMD30  | Court 4
03:30 PM - 03:40 PM | BMD48  | Court 12
03:30 PM - 03:40 PM | BMD49  | Court 3
03:40 PM - 03:50 PM | BMD50  | Court 10
03:40 PM - 03:50 PM | BMD51  | Court 11
04:00 PM - 04:10 PM | BMD52  | Court 6
04:10 PM - 04:20 PM | BMD53  | Court 10
04:10 PM - 04:40 PM | BMD31  | Court 9
04:40 PM - 05:10 PM | BMD54  | Court 6
