=== MATCH SCHEDULE FOR BMS ===
09:00 AM - 09:30 AM | BMS4   | Court 3
09:00 AM - 09:30 AM | BMS8   | Court 6
09:00 AM - 09:30 AM | BMS9   | Court 4
09:00 AM - 09:30 AM | BMS13  | Court 5
12:30 PM - 01:00 PM | BMS17  | Court 6
12:30 PM - 01:00 PM | BMS18  | Court 7
12:30 PM - 01:00 PM | BMS19  | Court 8
12:30 PM - 01:00 PM | BMS20  | Court 9
12:30 PM - 01:00 PM | BMS21  | Court 4
12:30 PM - 01:00 PM | BMS22  | Court 5
01:00 PM - 01:30 PM | BMS23  | Court 3
01:00 PM - 01:30 PM | BMS24  | Court 6
03:10 PM - 03:40 PM | BMS25  | Court 3
03:10 PM - 03:40 PM | BMS26  | Court 6
03:10 PM - 03:40 PM | BMS27  | Court 7
03:30 PM - 04:00 PM | BMS28  | Court 8
04:10 PM - 04:20 PM | BMS41  | Court 11
04:10 PM - 04:20 PM | BMS43  | Court 12
04:10 PM - 04:20 PM | BMS44  | Court 3
04:10 PM - 04:20 PM | BMS46  | Court 6
04:50 PM - 05:00 PM | BMS48  | Court 7
04:50 PM - 05:00 PM | BMS49  | Court 8
04:50 PM - 05:00 PM | BMS50  | Court 9
04:50 PM - 05:00 PM | BMS51  | Court 5
05:20 PM - 05:50 PM | BMS29  | Court 3
05:20 PM - 05:50 PM | BMS30  | Court 6
06:00 PM - 06:10 PM | BMS52  | Court 8
06:00 PM - 06:10 PM | BMS53  | Court 9
06:30 PM - 07:00 PM | BMS31  | Court 7
06:30 PM - 07:00 PM | BMS54  | Court 8
