=== MATCH SCHEDULE FOR CMD ===
08:00 AM - 08:30 AM | CMD2   | Court 10
08:00 AM - 08:30 AM | CMD4   | Court 11
08:00 AM - 08:30 AM | CMD6   | Court 12
08:00 AM - 08:30 AM | CMD7   | Court 3
08:00 AM - 08:30 AM | CMD8   | Court 6
08:00 AM - 08:30 AM | CMD10  | Court 7
08:00 AM - 08:30 AM | CMD12  | Court 8
08:00 AM - 08:30 AM | CMD14  | Court 9
08:00 AM - 08:30 AM | CMD15  | Court 1
08:00 AM - 08:30 AM | CMD16  | Court 2
08:00 AM - 08:30 AM | CMD17  | Court 4
08:00 AM - 08:30 AM | CMD18  | Court 5
08:30 AM - 09:00 AM | CMD19  | Court 10
08:30 AM - 09:00 AM | CMD21  | Court 11
08:30 AM - 09:00 AM | CMD22  | Court 12
08:30 AM - 09:00 AM | CMD23  | Court 3
08:30 AM - 09:00 AM | CMD25  | Court 6
08:30 AM - 09:00 AM | CMD26  | Court 7
08:30 AM - 09:00 AM | CMD27  | Court 8
08:30 AM - 09:00 AM | CMD29  | Court 9
08:30 AM - 09:00 AM | CMD31  | Court 1
09:30 AM - 10:00 AM | CMD33  | Court 3
09:30 AM - 10:00 AM | CMD34  | Court 6
09:30 AM - 10:00 AM | CMD35  | Court 7
09:30 AM - 10:00 AM | CMD36  | Court 8
09:30 AM - 10:00 AM | CMD37  | Court 9
09:30 AM - 10:00 AM | CMD38  | Court 1
09:30 AM - 10:00 AM | CMD39  | Court 2
09:30 AM - 10:00 AM | CMD40  | Court 4
09:30 AM - 10:00 AM | CMD41  | Court 5
10:00 AM - 10:30 AM | CMD42  | Court 10
10:00 AM - 10:30 AM | CMD43  | Court 11
10:00 AM - 10:30 AM | CMD44  | Court 12
10:00 AM - 10:30 AM | CMD45  | Court 3
10:00 AM - 10:30 AM | CMD46  | Court 6
10:00 AM - 10:30 AM | CMD47  | Court 7
10:00 AM - 10:30 AM | CMD48  | Court 8
11:30 AM - 12:00 noon | CMD49  | Court 10
11:30 AM - 12:00 noon | CMD50  | Court 11
11:30 AM - 12:00 noon | CMD51  | Court 12
11:30 AM - 12:00 noon | CMD52  | Court 3
11:30 AM - 12:00 noon | CMD53  | Court 6
11:30 AM - 12:00 noon | CMD54  | Court 7
11:30 AM - 12:00 noon | CMD55  | Court 8
11:30 AM - 12:00 noon | CMD56  | Court 9
01:00 PM - 01:10 PM | CMD67  | Court 7
01:00 PM - 01:10 PM | CMD71  | Court 8
01:00 PM - 01:10 PM | CMD72  | Court 9
01:00 PM - 01:10 PM | CMD74  | Court 1
01:00 PM - 01:10 PM | CMD76  | Court 2
01:00 PM - 01:10 PM | CMD80  | Court 4
01:00 PM - 01:10 PM | CMD81  | Court 5
01:10 PM - 01:20 PM | CMD82  | Court 7
01:10 PM - 01:20 PM | CMD84  | Court 8
01:10 PM - 01:20 PM | CMD85  | Court 9
01:10 PM - 01:20 PM | CMD86  | Court 1
01:10 PM - 01:20 PM | CMD89  | Court 2
01:10 PM - 01:20 PM | CMD91  | Court 4
01:10 PM - 01:20 PM | CMD93  | Court 5
01:20 PM - 01:30 PM | CMD94  | Court 7
01:20 PM - 01:30 PM | CMD95  | Court 8
01:40 PM - 02:10 PM | CMD57  | Court 10
01:40 PM - 02:10 PM | CMD58  | Court 11
01:40 PM - 02:10 PM | CMD59  | Court 12
01:40 PM - 02:10 PM | CMD60  | Court 3
02:40 PM - 02:50 PM | CMD96  | Court 10
02:40 PM - 02:50 PM | CMD97  | Court 11
02:40 PM - 02:50 PM | CMD98  | Court 12
02:40 PM - 02:50 PM | CMD99  | Court 3
02:40 PM - 02:50 PM | CMD100 | Court 6
02:40 PM - 02:50 PM | CMD101 | Court 7
02:40 PM - 02:50 PM | CMD102 | Court 8
02:40 PM - 02:50 PM | CMD103 | Court 9
03:10 PM - 03:20 PM | CMD104 | Court 3
03:10 PM - 03:20 PM | CMD105 | Court 6
03:10 PM - 03:20 PM | CMD106 | Court 7
03:10 PM - 03:20 PM | CMD107 | Court 8
03:10 PM - 03:40 PM | CMD61  | Court 5
03:20 PM - 03:50 PM | CMD62  | Court 6
03:50 PM - 04:00 PM | CMD108 | Court 3
03:50 PM - 04:00 PM | CMD109 | Court 6
04:10 PM - 04:40 PM | CMD63  | Court 6
04:20 PM - 04:50 PM | CMD110 | Court 3
