=== MATCH SCHEDULE FOR CMS ===
08:30 AM - 09:00 AM | CMS4   | Court 3
08:30 AM - 09:00 AM | CMS6   | Court 6
08:30 AM - 09:00 AM | CMS8   | Court 1
08:30 AM - 09:00 AM | CMS9   | Court 2
08:30 AM - 09:00 AM | CMS11  | Court 4
08:30 AM - 09:00 AM | CMS13  | Court 5
12:00 noon - 12:30 PM | CMS17  | Court 9
12:00 noon - 12:30 PM | CMS18  | Court 2
12:00 noon - 12:30 PM | CMS19  | Court 4
12:00 noon - 12:30 PM | CMS20  | Court 5
12:30 PM - 01:00 PM | CMS21  | Court 10
12:30 PM - 01:00 PM | CMS22  | Court 11
12:30 PM - 01:00 PM | CMS23  | Court 12
12:30 PM - 01:00 PM | CMS24  | Court 3
02:40 PM - 03:10 PM | CMS25  | Court 11
02:40 PM - 03:10 PM | CMS26  | Court 12
02:40 PM - 03:10 PM | CMS27  | Court 7
03:00 PM - 03:30 PM | CMS28  | Court 8
03:40 PM - 03:50 PM | CMS41  | Court 7
03:50 PM - 04:00 PM | CMS42  | Court 7
04:00 PM - 04:10 PM | CMS43  | Court 7
04:00 PM - 04:10 PM | CMS44  | Court 8
04:00 PM - 04:10 PM | CMS45  | Court 9
04:10 PM - 04:20 PM | CMS46  | Court 10
04:50 PM - 05:00 PM | CMS48  | Court 10
04:50 PM - 05:00 PM | CMS49  | Court 11
04:50 PM - 05:00 PM | CMS50  | Court 12
04:50 PM - 05:00 PM | CMS51  | Court 3
05:10 PM - 05:40 PM | CMS29  | Court 5
05:20 PM - 05:50 PM | CMS30  | Court 10
05:50 PM - 06:00 PM | CMS52  | Court 8
05:50 PM - 06:00 PM | CMS53  | Court 9
06:20 PM - 06:50 PM | CMS31  | Court 5
06:30 PM - 07:00 PM | CMS54  | Court 3
