=== MATCH SCHEDULE FOR CWD ===
11:00 AM - 11:30 AM | CWD4   | Court 11
11:00 AM - 11:30 AM | CWD8   | Court 12
11:00 AM - 11:30 AM | CWD9   | Court 2
11:00 AM - 11:30 AM | CWD13  | Court 4
12:30 PM - 01:00 PM | CWD17  | Court 11
12:30 PM - 01:00 PM | CWD18  | Court 12
12:30 PM - 01:00 PM | CWD19  | Court 5
01:00 PM - 01:30 PM | CWD20  | Court 10
01:00 PM - 01:30 PM | CWD21  | Court 11
01:00 PM - 01:30 PM | CWD22  | Court 12
01:00 PM - 01:30 PM | CWD23  | Court 3
01:00 PM - 01:30 PM | CWD24  | Court 6
02:10 PM - 02:40 PM | CWD25  | Court 11
02:10 PM - 02:40 PM | CWD26  | Court 12
02:10 PM - 02:40 PM | CWD27  | Court 9
02:10 PM - 02:40 PM | CWD28  | Court 4
03:00 PM - 03:10 PM | CWD41  | Court 5
03:10 PM - 03:20 PM | CWD43  | Court 10
03:10 PM - 03:20 PM | CWD44  | Court 11
03:10 PM - 03:20 PM | CWD46  | Court 12
03:40 PM - 03:50 PM | CWD48  | Court 12
03:40 PM - 03:50 PM | CWD49  | Court 3
03:40 PM - 03:50 PM | CWD50  | Court 5
03:50 PM - 04:00 PM | CWD51  | Court 10
03:50 PM - 04:20 PM | CWD29  | Court 11
03:50 PM - 04:20 PM | CWD30  | Court 12
04:10 PM - 04:20 PM | CWD52  | Court 3
04:20 PM - 04:30 PM | CWD53  | Court 10
04:40 PM - 05:10 PM | CWD31  | Court 10
04:50 PM - 05:20 PM | CWD54  | Court 3
