=== MATCH SCHEDULE FOR CXD ===
10:30 AM - 11:00 AM | CXD2   | Court 4
10:30 AM - 11:00 AM | CXD3   | Court 5
11:00 AM - 11:30 AM | CXD4   | Court 10
11:00 AM - 11:30 AM | CXD5   | Court 11
11:00 AM - 11:30 AM | CXD6   | Court 12
11:00 AM - 11:30 AM | CXD7   | Court 3
11:00 AM - 11:30 AM | CXD8   | Court 6
11:00 AM - 11:30 AM | CXD9   | Court 7
11:00 AM - 11:30 AM | CXD10  | Court 8
11:00 AM - 11:30 AM | CXD11  | Court 9
11:00 AM - 11:30 AM | CXD12  | Court 1
11:00 AM - 11:30 AM | CXD13  | Court 2
11:00 AM - 11:30 AM | CXD14  | Court 4
11:00 AM - 11:30 AM | CXD15  | Court 5
01:00 PM - 01:30 PM | CXD17  | Court 4
01:00 PM - 01:30 PM | CXD18  | Court 5
01:30 PM - 02:00 PM | CXD19  | Court 10
01:30 PM - 02:00 PM | CXD20  | Court 11
01:30 PM - 02:00 PM | CXD21  | Court 12
01:30 PM - 02:00 PM | CXD22  | Court 3
01:30 PM - 02:00 PM | CXD23  | Court 6
01:30 PM - 02:00 PM | CXD24  | Court 7
03:30 PM - 04:00 PM | CXD25  | Court 1
03:30 PM - 04:00 PM | CXD26  | Court 2
03:30 PM - 04:00 PM | CXD27  | Court 4
03:30 PM - 04:00 PM | CXD28  | Court 5
04:20 PM - 04:30 PM | CXD33  | Court 7
04:20 PM - 04:30 PM | CXD34  | Court 8
04:20 PM - 04:30 PM | CXD35  | Court 9
04:30 PM - 04:40 PM | CXD36  | Court 10
04:30 PM - 04:40 PM | CXD37  | Court 11
04:30 PM - 04:40 PM | CXD38  | Court 12
04:30 PM - 04:40 PM | CXD40  | Court 3
04:30 PM - 04:40 PM | CXD47  | Court 6
05:00 PM - 05:10 PM | CXD48  | Court 6
05:00 PM - 05:10 PM | CXD49  | Court 7
05:00 PM - 05:10 PM | CXD50  | Court 8
05:00 PM - 05:10 PM | CXD51  | Court 9
05:20 PM - 05:50 PM | CXD29  | Court 9
05:40 PM - 06:10 PM | CXD30  | Court 4
06:10 PM - 06:20 PM | CXD52  | Court 8
06:10 PM - 06:20 PM | CXD53  | Court 9
06:30 PM - 07:00 PM | CXD31  | Court 12
06:50 PM - 07:20 PM | CXD54  | Court 1
