=== MATCH SCHEDULE FOR DMD ===
08:30 AM - 09:00 AM | DMD2   | Court 2
08:30 AM - 09:00 AM | DMD4   | Court 4
08:30 AM - 09:00 AM | DMD6   | Court 5
09:00 AM - 09:30 AM | DMD8   | Court 10
09:00 AM - 09:30 AM | DMD10  | Court 11
09:00 AM - 09:30 AM | DMD12  | Court 12
09:00 AM - 09:30 AM | DMD14  | Court 3
09:00 AM - 09:30 AM | DMD15  | Court 6
09:00 AM - 09:30 AM | DMD16  | Court 7
09:00 AM - 09:30 AM | DMD17  | Court 8
09:00 AM - 09:30 AM | DMD18  | Court 9
09:00 AM - 09:30 AM | DMD19  | Court 1
09:00 AM - 09:30 AM | DMD21  | Court 2
09:00 AM - 09:30 AM | DMD23  | Court 4
09:00 AM - 09:30 AM | DMD25  | Court 5
09:30 AM - 10:00 AM | DMD27  | Court 10
09:30 AM - 10:00 AM | DMD29  | Court 11
09:30 AM - 10:00 AM | DMD31  | Court 12
10:00 AM - 10:30 AM | DMD33  | Court 9
10:00 AM - 10:30 AM | DMD34  | Court 1
10:00 AM - 10:30 AM | DMD35  | Court 2
10:00 AM - 10:30 AM | DMD36  | Court 4
10:00 AM - 10:30 AM | DMD37  | Court 5
10:30 AM - 11:00 AM | DMD38  | Court 10
10:30 AM - 11:00 AM | DMD39  | Court 11
10:30 AM - 11:00 AM | DMD40  | Court 12
10:30 AM - 11:00 AM | DMD41  | Court 3
10:30 AM - 11:00 AM | DMD42  | Court 6
10:30 AM - 11:00 AM | DMD43  | Court 7
10:30 AM - 11:00 AM | DMD44  | Court 8
10:30 AM - 11:00 AM | DMD45  | Court 9
10:30 AM - 11:00 AM | DMD46  | Court 1
10:30 AM - 11:00 AM | DMD47  | Court 2
10:30 AM - 11:00 AM | DMD48  | Court 4
11:30 AM - 12:00 noon | DMD49  | Court 2
11:30 AM - 12:00 noon | DMD50  | Court 4
11:30 AM - 12:00 noon | DMD51  | Court 5
12:00 noon - 12:30 PM | DMD52  | Court 10
12:00 noon - 12:30 PM | DMD53  | Court 11
12:00 noon - 12:30 PM | DMD54  | Court 12
12:00 noon - 12:30 PM | DMD55  | Court 3
12:00 noon - 12:30 PM | DMD56  | Court 6
01:20 PM - 01:30 PM | DMD71  | Court 9
01:20 PM - 01:30 PM | DMD72  | Court 1
01:20 PM - 01:30 PM | DMD80  | Court 2
01:20 PM - 01:30 PM | DMD81  | Court 4
01:20 PM - 01:30 PM | DMD82  | Court 5
01:30 PM - 01:40 PM | DMD83  | Court 10
01:30 PM - 01:40 PM | DMD84  | Court 11
01:30 PM - 01:40 PM | DMD85  | Court 12
01:30 PM - 01:40 PM | DMD86  | Court 3
01:30 PM - 01:40 PM | DMD89  | Court 6
01:30 PM - 01:40 PM | DMD90  | Court 7
01:30 PM - 01:40 PM | DMD91  | Court 8
01:30 PM - 01:40 PM | DMD92  | Court 9
01:30 PM - 01:40 PM | DMD93  | Court 1
01:30 PM - 01:40 PM | DMD94  | Court 2
01:30 PM - 01:40 PM | DMD95  | Court 4
01:40 PM - 02:10 PM | DMD57  | Court 6
01:40 PM - 02:10 PM | DMD58  | Court 7
01:40 PM - 02:10 PM | DMD59  | Court 8
01:40 PM - 02:10 PM | DMD60  | Court 9
02:50 PM - 03:00 PM | DMD96  | Court 10
02:50 PM - 03:00 PM | DMD97  | Court 11
02:50 PM - 03:00 PM | DMD98  | Court 12
02:50 PM - 03:00 PM | DMD99  | Court 3
02:50 PM - 03:00 PM | DMD100 | Court 6
02:50 PM - 03:00 PM | DMD101 | Court 7
02:50 PM - 03:00 PM | DMD102 | Court 8
02:50 PM - 03:00 PM | DMD103 | Court 9
03:20 PM - 03:30 PM | DMD104 | Court 10
03:20 PM - 03:30 PM | DMD105 | Court 11
03:20 PM - 03:30 PM | DMD106 | Court 12
03:20 PM - 03:30 PM | DMD107 | Court 3
03:20 PM - 03:50 PM | DMD61  | Court 7
03:20 PM - 03:50 PM | DMD62  | Court 8
03:50 PM - 04:00 PM | DMD108 | Court 7
03:50 PM - 04:00 PM | DMD109 | Court 8
04:10 PM - 04:40 PM | DMD63  | Court 7
04:20 PM - 04:50 PM | DMD110 | Court 1
