=== MATCH SCHEDULE FOR DMS ===
08:00 AM - 08:30 AM | DMS8   | Court 3
08:00 AM - 08:30 AM | DMS12  | Court 6
08:00 AM - 08:30 AM | DMS16  | Court 1
08:00 AM - 08:30 AM | DMS17  | Court 2
08:00 AM - 08:30 AM | DMS21  | Court 4
08:00 AM - 08:30 AM | DMS25  | Court 5
09:30 AM - 10:00 AM | DMS33  | Court 3
09:30 AM - 10:00 AM | DMS34  | Court 6
09:30 AM - 10:00 AM | DMS35  | Court 1
09:30 AM - 10:00 AM | DMS36  | Court 2
09:30 AM - 10:00 AM | DMS37  | Court 4
09:30 AM - 10:00 AM | DMS38  | Court 5
10:00 AM - 10:30 AM | DMS39  | Court 3
10:00 AM - 10:30 AM | DMS40  | Court 6
10:00 AM - 10:30 AM | DMS41  | Court 1
10:00 AM - 10:30 AM | DMS42  | Court 2
10:00 AM - 10:30 AM | DMS43  | Court 4
10:00 AM - 10:30 AM | DMS44  | Court 5
10:30 AM - 11:00 AM | DMS45  | Court 3
10:30 AM - 11:00 AM | DMS46  | Court 6
10:30 AM - 11:00 AM | DMS47  | Court 1
10:30 AM - 11:00 AM | DMS48  | Court 2
01:00 PM - 01:30 PM | DMS49  | Court 10
01:00 PM - 01:30 PM | DMS50  | Court 11
01:00 PM - 01:30 PM | DMS51  | Court 12
01:00 PM - 01:30 PM | DMS52  | Court 7
01:00 PM - 01:30 PM | DMS53  | Court 8
01:00 PM - 01:30 PM | DMS54  | Court 9
01:00 PM - 01:30 PM | DMS55  | Court 1
01:00 PM - 01:30 PM | DMS56  | Court 2
02:30 PM - 02:40 PM | DMS83  | Court 10
02:30 PM - 02:40 PM | DMS85  | Court 11
02:30 PM - 02:40 PM | DMS87  | Court 12
02:30 PM - 02:40 PM | DMS88  | Court 3
02:30 PM - 02:40 PM | DMS90  | Court 6
02:30 PM - 02:40 PM | DMS92  | Court 7
03:10 PM - 03:40 PM | DMS57  | Court 10
03:10 PM - 03:40 PM | DMS58  | Court 11
03:10 PM - 03:40 PM | DMS59  | Court 12
03:30 PM - 04:00 PM | DMS60  | Court 9
04:10 PM - 04:20 PM | DMS96  | Court 7
04:10 PM - 04:20 PM | DMS97  | Court 8
04:10 PM - 04:20 PM | DMS98  | Court 9
04:20 PM - 04:30 PM | DMS99  | Court 10
04:20 PM - 04:30 PM | DMS100 | Court 11
04:20 PM - 04:30 PM | DMS101 | Court 12
04:20 PM - 04:30 PM | DMS102 | Court 3
04:20 PM - 04:30 PM | DMS103 | Court 6
05:00 PM - 05:10 PM | DMS104 | Court 10
05:00 PM - 05:10 PM | DMS105 | Court 11
05:00 PM - 05:10 PM | DMS106 | Court 12
05:00 PM - 05:10 PM | DMS107 | Court 3
05:20 PM - 05:50 PM | DMS61  | Court 7
05:20 PM - 05:50 PM | DMS62  | Court 8
06:10 PM - 06:20 PM | DMS108 | Court 12
06:10 PM - 06:20 PM | DMS109 | Court 7
06:30 PM - 07:00 PM | DMS63  | Court 11
06:50 PM - 07:20 PM | DMS110 | Court 9
