=== MATCH SCHEDULE FOR DXD ===
11:30 AM - 12:00 noon | DXD2   | Court 10
11:30 AM - 12:00 noon | DXD4   | Court 11
11:30 AM - 12:00 noon | DXD6   | Court 12
11:30 AM - 12:00 noon | DXD8   | Court 3
11:30 AM - 12:00 noon | DXD9   | Court 6
11:30 AM - 12:00 noon | DXD10  | Court 7
11:30 AM - 12:00 noon | DXD11  | Court 8
11:30 AM - 12:00 noon | DXD13  | Court 9
11:30 AM - 12:00 noon | DXD15  | Court 2
01:30 PM - 02:00 PM | DXD17  | Court 8
01:30 PM - 02:00 PM | DXD18  | Court 9
02:00 PM - 02:30 PM | DXD19  | Court 10
02:00 PM - 02:30 PM | DXD20  | Court 11
02:00 PM - 02:30 PM | DXD21  | Court 12
02:00 PM - 02:30 PM | DXD22  | Court 3
02:00 PM - 02:30 PM | DXD23  | Court 6
02:00 PM - 02:30 PM | DXD24  | Court 7
03:40 PM - 04:10 PM | DXD25  | Court 10
03:40 PM - 04:10 PM | DXD26  | Court 11
03:40 PM - 04:10 PM | DXD27  | Court 12
03:40 PM - 04:10 PM | DXD28  | Court 3
04:30 PM - 04:40 PM | DXD36  | Court 8
04:30 PM - 04:40 PM | DXD40  | Court 9
04:30 PM - 04:40 PM | DXD41  | Court 5
04:40 PM - 04:50 PM | DXD42  | Court 10
04:40 PM - 04:50 PM | DXD43  | Court 11
04:40 PM - 04:50 PM | DXD45  | Court 12
04:40 PM - 04:50 PM | DXD46  | Court 3
04:40 PM - 04:50 PM | DXD47  | Court 6
05:10 PM - 05:20 PM | DXD48  | Court 10
05:10 PM - 05:20 PM | DXD49  | Court 11
05:10 PM - 05:20 PM | DXD50  | Court 12
05:10 PM - 05:20 PM | DXD51  | Court 6
05:50 PM - 06:20 PM | DXD29  | Court 10
05:50 PM - 06:20 PM | DXD30  | Court 11
06:20 PM - 06:30 PM | DXD52  | Court 10
06:20 PM - 06:30 PM | DXD53  | Court 11
07:00 PM - 07:30 PM | DXD31  | Court 10
07:00 PM - 07:30 PM | DXD54  | Court 3
