=== MATCH SCHEDULE FOR SUNDAY ===
08:00 AM - 08:30 AM | CMD2   | Court 10
08:00 AM - 08:30 AM | CMD4   | Court 11
08:00 AM - 08:30 AM | CMD6   | Court 12
08:00 AM - 08:30 AM | CMD7   | Court 3
08:00 AM - 08:30 AM | CMD8   | Court 6
08:00 AM - 08:30 AM | CMD10  | Court 7
08:00 AM - 08:30 AM | CMD12  | Court 8
08:00 AM - 08:30 AM | CMD14  | Court 9
08:00 AM - 08:30 AM | CMD15  | Court 1
08:00 AM - 08:30 AM | CMD16  | Court 2
08:00 AM - 08:30 AM | CMD17  | Court 4
08:00 AM - 08:30 AM | CMD18  | Court 5
08:30 AM - 09:00 AM | CMD19  | Court 10
08:30 AM - 09:00 AM | CMD21  | Court 11
08:30 AM - 09:00 AM | CMD22  | Court 12
08:30 AM - 09:00 AM | CMD23  | Court 3
08:30 AM - 09:00 AM | CMD25  | Court 6
08:30 AM - 09:00 AM | CMD26  | Court 7
08:30 AM - 09:00 AM | CMD27  | Court 8
08:30 AM - 09:00 AM | CMD29  | Court 9
08:30 AM - 09:00 AM | CMD31  | Court 1
08:30 AM - 09:00 AM | DMD2   | Court 2
08:30 AM - 09:00 AM | DMD4   | Court 4
08:30 AM - 09:00 AM | DMD6   | Court 5
09:00 AM - 09:30 AM | DMD8   | Court 10
09:00 AM - 09:30 AM | DMD10  | Court 11
09:00 AM - 09:30 AM | DMD12  | Court 12
09:00 AM - 09:30 AM | DMD14  | Court 3
09:00 AM - 09:30 AM | DMD15  | Court 6
09:00 AM - 09:30 AM | DMD16  | Court 7
09:00 AM - 09:30 AM | DMD17  | Court 8
09:00 AM - 09:30 AM | DMD18  | Court 9
09:00 AM - 09:30 AM | DMD19  | Court 1
09:00 AM - 09:30 AM | DMD21  | Court 2
09:00 AM - 09:30 AM | DMD23  | Court 4
09:00 AM - 09:30 AM | DMD25  | Court 5
09:30 AM - 10:00 AM | DMD27  | Court 10
09:30 AM - 10:00 AM | DMD29  | Court 11
09:30 AM - 10:00 AM | DMD31  | Court 12
09:30 AM - 10:00 AM | CMD33  | Court 3
09:30 AM - 10:00 AM | CMD34  | Court 6
09:30 AM - 10:00 AM | CMD35  | Court 7
09:30 AM - 10:00 AM | CMD36  | Court 8
09:30 AM - 10:00 AM | CMD37  | Court 9
09:30 AM - 10:00 AM | CMD38  | Court 1
09:30 AM - 10:00 AM | CMD39  | Court 2
09:30 AM - 10:00 AM | CMD40  | Court 4
09:30 AM - 10:00 AM | CMD41  | Court 5
10:00 AM - 10:30 AM | CMD42  | Court 10
10:00 AM - 10:30 AM | CMD43  | Court 11
10:00 AM - 10:30 AM | CMD44  | Court 12
10:00 AM - 10:30 AM | CMD45  | Court 3
10:00 AM - 10:30 AM | CMD46  | Court 6
10:00 AM - 10:30 AM | CMD47  | Court 7
10:00 AM - 10:30 AM | CMD48  | Court 8
10:00 AM - 10:30 AM | DMD33  | Court 9
10:00 AM - 10:30 AM | DMD34  | Court 1
10:00 AM - 10:30 AM | DMD35  | Court 2
10:00 AM - 10:30 AM | DMD36  | Court 4
10:00 AM - 10:30 AM | DMD37  | Court 5
10:30 AM - 11:00 AM | DMD38  | Court 10
10:30 AM - 11:00 AM | DMD39  | Court 11
10:30 AM - 11:00 AM | DMD40  | Court 12
10:30 AM - 11:00 AM | DMD41  | Court 3
10:30 AM - 11:00 AM | DMD42  | Court 6
10:30 AM - 11:00 AM | DMD43  | Court 7
10:30 AM - 11:00 AM | DMD44  | Court 8
10:30 AM - 11:00 AM | DMD45  | Court 9
10:30 AM - 11:00 AM | DMD46  | Court 1
10:30 AM - 11:00 AM | DMD47  | Court 2
10:30 AM - 11:00 AM | DMD48  | Court 4
10:30 AM - 11:00 AM | DWD8   | Court 5
11:00 AM - 11:30 AM | DWD9   | Court 10
11:00 AM - 11:30 AM | BMD4   | Court 3
11:00 AM - 11:30 AM | BMD6   | Court 6
11:00 AM - 11:30 AM | BMD8   | Court 7
11:00 AM - 11:30 AM | BMD9   | Court 8
11:00 AM - 11:30 AM | BMD11  | Court 9
11:00 AM - 11:30 AM | BMD13  | Court 1
11:00 AM - 11:30 AM | CWD4   | Court 11
11:00 AM - 11:30 AM | CWD8   | Court 12
11:00 AM - 11:30 AM | CWD9   | Court 2
11:00 AM - 11:30 AM | CWD13  | Court 4
11:00 AM - 11:30 AM | AMD4   | Court 5
11:30 AM - 12:00 noon | AMD5   | Court 1
11:30 AM - 12:00 noon | CMD49  | Court 10
11:30 AM - 12:00 noon | CMD50  | Court 11
11:30 AM - 12:00 noon | CMD51  | Court 12
11:30 AM - 12:00 noon | CMD52  | Court 3
11:30 AM - 12:00 noon | CMD53  | Court 6
11:30 AM - 12:00 noon | CMD54  | Court 7
11:30 AM - 12:00 noon | CMD55  | Court 8
11:30 AM - 12:00 noon | CMD56  | Court 9
11:30 AM - 12:00 noon | DMD49  | Court 2
11:30 AM - 12:00 noon | DMD50  | Court 4
11:30 AM - 12:00 noon | DMD51  | Court 5
12:00 noon - 12:30 PM | DMD52  | Court 10
12:00 noon - 12:30 PM | DMD53  | Court 11
12:00 noon - 12:30 PM | DMD54  | Court 12
12:00 noon - 12:30 PM | DMD55  | Court 3
12:00 noon - 12:30 PM | DMD56  | Court 6
12:00 noon - 12:30 PM | DWD17  | Court 7
12:00 noon - 12:30 PM | DWD18  | Court 8
12:00 noon - 12:30 PM | DWD19  | Court 9
12:00 noon - 12:30 PM | DWD20  | Court 1
12:00 noon - 12:30 PM | DWD21  | Court 2
12:00 noon - 12:30 PM | DWD22  | Court 4
12:00 noon - 12:30 PM | DWD23  | Court 5
12:30 PM - 01:00 PM | DWD24  | Court 10
12:30 PM - 01:00 PM | BMD17  | Court 3
12:30 PM - 01:00 PM | BMD18  | Court 6
12:30 PM - 01:00 PM | BMD19  | Court 7
12:30 PM - 01:00 PM | BMD20  | Court 8
12:30 PM - 01:00 PM | BMD21  | Court 9
12:30 PM - 01:00 PM | BMD22  | Court 1
12:30 PM - 01:00 PM | BMD23  | Court 2
12:30 PM - 01:00 PM | BMD24  | Court 4
12:30 PM - 01:00 PM | CWD17  | Court 11
12:30 PM - 01:00 PM | CWD18  | Court 12
12:30 PM - 01:00 PM | CWD19  | Court 5
01:00 PM - 01:30 PM | CWD20  | Court 10
01:00 PM - 01:30 PM | CWD21  | Court 11
01:00 PM - 01:30 PM | CWD22  | Court 12
01:00 PM - 01:30 PM | CWD23  | Court 3
01:00 PM - 01:30 PM | CWD24  | Court 6
01:00 PM - 01:10 PM | CMD67  | Court 7
01:00 PM - 01:10 PM | CMD71  | Court 8
01:00 PM - 01:10 PM | CMD72  | Court 9
01:00 PM - 01:10 PM | CMD74  | Court 1
01:00 PM - 01:10 PM | CMD76  | Court 2
01:00 PM - 01:10 PM | CMD80  | Court 4
01:00 PM - 01:10 PM | CMD81  | Court 5
01:10 PM - 01:20 PM | CMD82  | Court 7
01:10 PM - 01:20 PM | CMD84  | Court 8
01:10 PM - 01:20 PM | CMD85  | Court 9
01:10 PM - 01:20 PM | CMD86  | Court 1
01:10 PM - 01:20 PM | CMD89  | Court 2
01:10 PM - 01:20 PM | CMD91  | Court 4
01:10 PM - 01:20 PM | CMD93  | Court 5
01:20 PM - 01:30 PM | CMD94  | Court 7
01:20 PM - 01:30 PM | CMD95  | Court 8
01:20 PM - 01:30 PM | DMD71  | Court 9
01:20 PM - 01:30 PM | DMD72  | Court 1
01:20 PM - 01:30 PM | DMD80  | Court 2
01:20 PM - 01:30 PM | DMD81  | Court 4
01:20 PM - 01:30 PM | DMD82  | Court 5
01:30 PM - 01:40 PM | DMD83  | Court 10
01:30 PM - 01:40 PM | DMD84  | Court 11
01:30 PM - 01:40 PM | DMD85  | Court 12
01:30 PM - 01:40 PM | DMD86  | Court 3
01:30 PM - 01:40 PM | DMD89  | Court 6
01:30 PM - 01:40 PM | DMD90  | Court 7
01:30 PM - 01:40 PM | DMD91  | Court 8
01:30 PM - 01:40 PM | DMD92  | Court 9
01:30 PM - 01:40 PM | DMD93  | Court 1
01:30 PM - 01:40 PM | DMD94  | Court 2
01:30 PM - 01:40 PM | DMD95  | Court 4
01:30 PM - 02:00 PM | AMD10  | Court 5
